Gene.Symbol	Locus.ID	Cytoband	Entrez.IDs
PRKAG3	53632	2q35	53632
WNT6	7475	2q35	7475
WNT10A	80326	2q35	80326
CDK5R2	8941	2q35	8941
LINC00608	-1038	2q35	151300
CRYBA2	1412	2q35	1412
FEV	54738	2q35	54738
CCDC108	255101	2q35	CCDC108
MIR375	494324	2q35	494324
IHH	3549	2q35	3549
MIR3131	-1039	2q35	100422957
NHEJ1	79840	2q35	79840
SLC23A3	151295	2q35	151295
RN7SL764P	-1040	2q35	106480531
CNPPD1	27013	2q35	27013
FAM134A	79137	2q35	79137
ZFAND2B	130617	2q35	130617
ABCB6	10058	2q35	10058
ATG9A	79065	2q35	79065
ANKZF1	55139	2q35	55139
GLB1L	79411	2q35	79411
STK16	8576	2q35	8576
TUBA4A	7277	2q35	7277
TUBA4B	80086	2q35	80086
DNAJB2	3300	2q35	3300
PTPRN	5798	2q35	5798
RESP18	389075	2q35	389075
DNPEP	23549	2q35	23549
DES	1674	2q35	1674
SPEG	10290	2q35	10290
GMPPA	29926	2q35	29926
ASIC4	55515	2q35	55515
CHPF	79586	2q35	79586
TMEM198	130612	2q35	130612
MIR3132	100423039	2q35	100423039
OBSL1	23363	2q35	23363
INHA	3623	2q35	3623
RN7SKP213	-1041	2q35	106480899
STK11IP	114790	2q35	114790
SLC4A3	6508	2q35	6508
MIR4268	100422959	2q35	100422959
EPHA4	2043	2q36.1	2043
PAX3	5077	2q36.1	5077
CCDC140	151278	2q36.1	151278
SGPP2	-1042	2q36.1	130367
FARSB	10056	2q36.1	10056
MOGAT1	116255	2q36.1	116255
snoU13|ENSG00000238852.1	-1043	2q36.1	snoU13|ENSG00000238852.1
ACSL3	-1044	2q36.1	2181
KCNE4	23704	2q36.1	23704
RN7SL807P	-1045	2q36.1	106481141
SCG2	7857	2q36.1	7857
AP1S3	130340	2q36.1	130340
WDFY1	57590	2q36.1	57590
MRPL44	65080	2q36.1	65080
SERPINE2	5270	2q36.1	5270
FAM124B	79843	2q36.2	79843
CUL3	8452	2q36.2	8452
DOCK10	55619	2q36.2	55619
MIR4439	-1046	2q36.2	100616207
NYAP2	57624	2q36.3	57624
MIR5702	100847053	2q36.3	100847053
IRS1	3667	2q36.3	3667
RHBDD1	84236	2q36.3	84236
SNORA48|ENSG00000212391.1	-1047	2q36.3	SNORA48|ENSG00000212391.1
COL4A4	1286	2q36.3	1286
COL4A3	1285	2q36.3	1285
MFF	56947	2q36.3	56947
TM4SF20	79853	2q36.3	79853
AGFG1	3267	2q36.3	3267
MIR5703	100847081	2q36.3	100847081
C2orf83	56918	2q36.3	56918
SLC19A3	80704	2q36.3	80704
RNA5SP121	-1048	2q36.3	100873391
CCL20	6364	2q36.3	6364
DAW1	164781	2q36.3	164781
SNORA25|ENSG00000272237.1	-1049	2q36.3	SNORA25|ENSG00000272237.1
SPHKAP	80309	2q36.3	80309
SNORD112|ENSG00000251801.1	-1050	2q36.3	SNORD112|ENSG00000251801.1
PID1	55022	2q36.3	55022
RN7SKP283	-1051	2q36.3	106479221
DNER	92737	2q36.3	92737
FBXO36	130888	2q36.3	130888
TRIP12	9320	2q36.3	9320
SLC16A14	151473	2q36.3	151473
RNY4P19	-1052	2q36.3	100169834
SP110	3431	2q37.1	3431
SP140	11262	2q37.1	11262
SP140L	93349	2q37.1	93349
SP100	6672	2q37.1	6672
RN7SL834P	-1053	2q37.1	106481148
CAB39	51719	2q37.1	51719
ITM2C	81618	2q37.1	81618
GPR55	9290	2q37.1	9290
SPATA3	130560	2q37.1	130560
C2orf72	257407	2q37.1	257407
PSMD1	5707	2q37.1	5707
HTR2B	3357	2q37.1	3357
ARMC9	80210	2q37.1	80210
MIR4777	-1054	2q37.1	100616317
B3GNT7	93010	2q37.1	93010
NCL	-1055	2q37.1	4691
SNORA75|ENSG00000206885.1	-1056	2q37.1	SNORA75|ENSG00000206885.1
SNORD20	-1057	2q37.1	6082
SNORD82	-1058	2q37.1	25826
C2orf57	165100	2q37.1	165100
LINC00471	151477	2q37.1	151477
NMUR1	10316	2q37.1	10316
RN7SL499P	-1059	2q37.1	106481059
MGC4771	-1060	2q37.1	MGC4771
PTMA	5757	2q37.1	5757
PDE6D	5147	2q37.1	5147
COPS7B	64708	2q37.1	64708
MIR1471	100302126	2q37.1	100302126
NPPC	-1061	2q37.1	4880
DIS3L2	129563	2q37.1	129563
MIR562	-1062	2q37.1	693147
ALPPL2	251	2q37.1	251
ALPP	250	2q37.1	250
ECEL1P2	-1063	2q37.1	347694
ALPI	248	2q37.1	248
ECEL1	9427	2q37.1	9427
PRSS56	646960	2q37.1	646960
CHRND	-1064	2q37.1	1144
CHRNG	1146	2q37.1	1146
TIGD1	200765	2q37.1	200765
EIF4E2	9470	2q37.1	9470
MIR5001	100847037	2q37.1	100847037
EFHD1	80303	2q37.1	80303
RN7SL359P	-1065	2q37.1	106479354
snoU13|ENSG00000239170.1	-1066	2q37.1	snoU13|ENSG00000239170.1
GIGYF2	26058	2q37.1	26058
KCNJ13	3769	2q37.1	3769
C2orf82	389084	2q37.1	389084
NGEF	25791	2q37.1	25791
NEU2	4759	2q37.1	4759
INPP5D	3635	2q37.1	3635
RN7SL32P	-1067	2q37.1	106480930
ATG16L1	55054	2q37.1	55054
SCARNA5	-1068	2q37.1	677775
SCARNA6|ENSG00000251791.1	-1069	2q37.1	SCARNA6|ENSG00000251791.1
SAG	6295	2q37.1	6295
DGKD	8527	2q37.1	8527
USP40	55230	2q37.1	55230
UGT1A10	54575	2q37.1	54575
UGT1A8	54658	2q37.1	54576
UGT1A9	54600	2q37.1	54600
UGT1A7	54577	2q37.1	54577
UGT1A6	54578	2q37.1	54578
UGT1A5	54579	2q37.1	54579
UGT1A4	54657	2q37.1	54657
UGT1A3	-1070	2q37.1	54659
DNAJB3	-1071	2q37.1	414061
UGT1A1	54659	2q37.1	54658
MROH2A	339766	2q37.1	339766
HJURP	55355	2q37.1	55355
MSL3P1	-1072	2q37.1	151507
TRPM8	79054	2q37.1	79054
SPP2	6694	2q37.1	6694
ARL4C	10123	2q37.1	10123
SH3BP4	23677	2q37.2	23677
AGAP1	116987	2q37.2	116987
RN7SL204P	-1073	2q37.2	106480977
GBX2	2637	2q37.2	2637
ASB18	401036	2q37.2	401036
IQCA1	79781	2q37.2	79781
ACKR3	57007	2q37.3	57007
COPS8	-1074	2q37.3	10920
COL6A3	1293	2q37.3	1293
MLPH	79083	2q37.3	79083
PRLH	51052	2q37.3	51052
RAB17	64284	2q37.3	64284
LRRFIP1	9208	2q37.3	9208
RBM44	-1075	2q37.3	375316
RAMP1	10267	2q37.3	10267
SNORD39|ENSG00000263723.1	-1076	2q37.3	SNORD39|ENSG00000263723.1
UBE2F	140739	2q37.3	140739
SCLY	51540	2q37.3	51540
ESPNL	339768	2q37.3	339768
KLHL30	377007	2q37.3	377007
FAM132B	-1077	2q37.3	FAM132B
ILKAP	80895	2q37.3	80895
HES6	55502	2q37.3	55502
PER2	8864	2q37.3	8864
TRAF3IP1	26146	2q37.3	26146
ASB1	51665	2q37.3	51665
HDAC4	9759	2q37.3	9759
MIR4440	-1078	2q37.3	100616397
MIR4441	-1079	2q37.3	100616493
TWIST2	117581	2q37.3	117581
MIR4269	100423043	2q37.3	100423043
MIR2467	-1080	2q37.3	100616360
NDUFA10	4705	2q37.3	4705
MIR4786	100616417	2q37.3	100616417
OR6B2	389090	2q37.3	389090
PRR21	643905	2q37.3	643905
OR6B3	150681	2q37.3	150681
MYEOV2	150678	2q37.3	MYEOV2
OTOS	150677	2q37.3	150677
GPC1	2817	2q37.3	2817
MIR149	-1081	2q37.3	406941
ANKMY1	51281	2q37.3	51281
DUSP28	285193	2q37.3	285193
RNPEPL1	-1082	2q37.3	57140
CAPN10	11132	2q37.3	11132
GPR35	2859	2q37.3	2859
AQP12A	375318	2q37.3	375318
AQP12B	653437	2q37.3	653437
KIF1A	547	2q37.3	547
AGXT	189	2q37.3	189
C2orf54	79919	2q37.3	79919
SNED1	25992	2q37.3	25992
MTERFD2	130916	2q37.3	MTERFD2
PASK	23178	2q37.3	23178
PPP1R7	5510	2q37.3	5510
ANO7	50636	2q37.3	50636
HDLBP	3069	2q37.3	3069
SEPT2	4735	2q37.3	4735
FARP2	9855	2q37.3	9855
MIR3133	-1083	2q37.3	100422942
STK25	10494	2q37.3	10494
ATG4B	23192	2q37.3	23192
BOK	666	2q37.3	666
CXXC11	-1085	2q37.3	CXXC11
D2HGDH	728294	2q37.3	728294
DTYMK	1841	2q37.3	1841
GAL3ST2	64090	2q37.3	64090
ING5	84289	2q37.3	84289
NEU4	129807	2q37.3	129807
PDCD1	5133	2q37.3	5133
RNA5SP122	-1084	2q37.3	100873392
THAP4	51078	2q37.3	51078
CHL1	10752	3p26.3	10752
CNTN4	152330	3p26.3	152330
CNTN6	27255	3p26.3	27255
RN7SKP144	-1087	3p26.3	106479159
RN7SL120P	-1086	3p26.3	106480953
IL5RA	3568	3p26.2	3568
SNORA43|ENSG00000253049.1	-1088	3p26.2	SNORA43|ENSG00000253049.1
TRNT1	51095	3p26.2	51095
CRBN	51185	3p26.2	51185
SUMF1	285362	3p26.2	285362
LRRN1	57633	3p26.2	57633
SETMAR	6419	3p26.1	6419
ITPR1	3708	3p26.1	3708
EGOT	-1089	3p26.1	100126791
snoU13|ENSG00000239126.1	-1090	3p26.1	snoU13|ENSG00000239126.1
BHLHE40	8553	3p26.1	8553
ARL8B	55207	3p26.1	55207
EDEM1	9695	3p26.1	9695
MIR4790	100616334	3p26.1	100616334
RN7SL553P	-1091	3p26.1	106480518
GRM7	2917	3p26.1	2917
RNU4ATAC17P	-1092	3p26.1	106480696
LMCD1	29995	3p26.1	29995
LINC00312	-1093	3p26.1	29931
SSUH2	51066	3p26.1	51066
CAV3	859	3p25.3	859
OXTR	5021	3p25.3	5021
RAD18	56852	3p25.3	56852
SNORA43|ENSG00000199815.1	-1094	3p25.3	SNORA43|ENSG00000199815.1
SRGAP3	9901	3p25.3	9901
THUMPD3	25917	3p25.3	25917
SETD5	55209	3p25.3	55209
LHFPL4	-1095	3p25.3	375323
MTMR14	64419	3p25.3	64419
CPNE9	151835	3p25.3	151835
BRPF1	7862	3p25.3	7862
OGG1	4968	3p25.3	4968
CAMK1	8536	3p25.3	8536
TADA3	10474	3p25.3	10474
ARPC4	10093	3p25.3	10093
TTLL3	26140	3p25.3	26140
RPUSD3	285367	3p25.3	285367
CIDEC	63924	3p25.3	63924
JAGN1	84522	3p25.3	84522
IL17RE	132014	3p25.3	132014
IL17RC	84818	3p25.3	84818
CRELD1	78987	3p25.3	78987
PRRT3	285368	3p25.3	285368
EMC3	-1096	3p25.3	55831
CIDECP	-1097	3p25.3	152302
FANCD2	2177	3p25.3	2177
FANCD2OS	115795	3p25.3	115795
BRK1	55845	3p25.3	55845
snoU13|ENSG00000238642.1	-1098	3p25.3	snoU13|ENSG00000238642.1
VHL	-1099	3p25.3	7428
snoU13|ENSG00000238345.1	-1100	3p25.3	snoU13|ENSG00000238345.1
IRAK2	3656	3p25.3	3656
TATDN2	9797	3p25.3	9797
LINC00852	-1101	3p25.3	84657
GHRLOS	-1102	3p25.3	100126793
GHRL	51738	3p25.3	51738
SEC13	6396	3p25.3	6396
ATP2B2	491	3p25.3	491
MIR378B	100422933	3p25.3	100422933
MIR885	-1103	3p25.3	100126334
LINC00606	-1104	3p25.3	285370
SLC6A11	-1105	3p25.3	6538
SLC6A1	6529	3p25.3	6529
HRH1	3269	3p25.3	3269
ATG7	10533	3p25.3	10533
VGLL4	9686	3p25.3	9686
TAMM41	132001	3p25.2	132001
RN7SL147P	-1106	3p25.2	106479274
SYN2	-1107	3p25.2	6854
TIMP4	7079	3p25.2	7079
PPARG	5468	3p25.2	5468
TSEN2	80746	3p25.2	80746
RNA5SP123	-1108	3p25.2	100873393
C3orf83	-1109	3p25.2	C3orf83
MKRN2	23609	3p25.2	23609
RAF1	5894	3p25.2	5894
snoU13|ENSG00000239140.1	-1110	3p25.2	snoU13|ENSG00000239140.1
TMEM40	55287	3p25.2	55287
CAND2	23066	3p25.2	23066
RPL32	6161	3p25.2	6161
SNORA7A	-1111	3p25.2	619563
IQSEC1	9922	3p25.2	9922
NUP210	23225	3p25.1	23225
HDAC11	79885	3p25.1	79885
FBLN2	2199	3p25.1	2199
LINC00620	-1112	3p25.1	285375
WNT7A	-1113	3p25.1	7476
FGD5P1	-1114	3p25.1	100132526
TPRXL	348825	3p25.1	348825
CHCHD4	131474	3p25.1	131474
TMEM43	79188	3p25.1	79188
XPC	7508	3p25.1	7508
LSM3	-1115	3p25.1	27258
RNA5SP124	-1116	3p25.1	100873394
SLC6A6	6533	3p25.1	6533
GRIP2	-1117	3p25.1	80852
CCDC174	51244	3p25.1	51244
C3orf20	84077	3p25.1	84077
FGD5	152273	3p25.1	152273
NR2C2	-1118	3p25.1	7182
MRPS25	64432	3p25.1	64432
ZFYVE20	64145	3p25.1	ZFYVE20
COL6A4P1	-1119	3p25.1	344875
CAPN7	23473	3p25.1	23473
SH3BP5	9467	3p25.1	9467
snoU13|ENSG00000238891.1	-1120	3p25.1	snoU13|ENSG00000238891.1
METTL6	131965	3p25.1	131965
EAF1	85403	3p25.1	85403
COLQ	8292	3p25.1	8292
MIR4270	-1121	3p25.1	100422868
RN7SL110P	-1122	3p25.1	106480371
HACL1	26061	3p25.1	26061
BTD	686	3p25.1	686
ANKRD28	23243	3p25.1	23243
MIR3134	-1123	3p25.1	100422990
RN7SL4P	-1124	3p25.1	6030
MIR563	693148	3p25.1	693148
GALNT15	117248	3p25.1	117248
DPH3	-1125	3p25.1	285381
OXNAD1	92106	3p25.1	92106
RFTN1	23180	3p25.1	23180
LINC00690	-1126	3p24.3	100996597
DAZL	1618	3p24.3	1618
PLCL2	23228	3p24.3	23228
MIR3714	100500913	3p24.3	100500913
TBC1D5	9779	3p24.3	9779
U7|ENSG00000271841.1	-1127	3p24.3	U7|ENSG00000271841.1
SATB1	6304	3p24.3	6304
KCNH8	131096	3p24.3	131096
MIR4791	100616291	3p24.3	100616291
EFHB	151651	3p24.3	151651
RAB5A	5868	3p24.3	5868
PP2D1	151649	3p24.3	151649
KAT2B	8850	3p24.3	8850
MIR3135A	-1128	3p24.3	100422901
SGOL1	151648	3p24.3	SGOL1
RNY4P22	-1129	3p24.3	100873800
ZNF385D	79750	3p24.3	79750
HMGB1P5	-1130	3p24.3	10354
UBE2E2	-1131	3p24.3	7325
UBE2E1	7324	3p24.3	7324
NKIRAS1	28512	3p24.2	28512
RPL15	6138	3p24.2	6138
NR1D2	9975	3p24.2	9975
LINC00691	-1132	3p24.2	152024
THRB	7068	3p24.2	7068
MIR4792	100616448	3p24.2	100616448
RN7SL216P	-1133	3p24.2	106480495
RNA5SP125	-1134	3p24.2	100873395
RARB	5915	3p24.2	5915
RNA5SP126	-1135	3p24.2	100873396
SNORD5|ENSG00000272166.1	-1136	3p24.2	SNORD5|ENSG00000272166.1
TOP2B	7155	3p24.2	7155
MIR4442	100616477	3p24.2	100616477
NGLY1	55768	3p24.2	55768
OXSM	54995	3p24.2	54995
LINC00692	285326	3p24.2	285326
LRRC3B	116135	3p24.1	116135
NEK10	152110	3p24.1	152110
SLC4A7	9497	3p24.1	9497
RN7SL859P	-1137	3p24.1	RN7SL859P
EOMES	8320	3p24.1	8320
CMC1	-1138	3p24.1	152100
AZI2	64343	3p24.1	64343
ZCWPW2	152098	3p24.1	152098
LINC00693	-1139	3p24.1	645206
RBMS3	27303	3p24.1	27303
U3|ENSG00000199927.1	-1140	3p24.1	U3|ENSG00000199927.1
TGFBR2	7048	3p24.1	7048
GADL1	339896	3p24.1	339896
RNA5SP127	-1141	3p23	100873397
STT3B	-1142	3p23	201595
OSBPL10	-1143	3p23	114884
ZNF860	344787	3p23	344787
SNORA25|ENSG00000201701.1	-1144	3p23	SNORA25|ENSG00000201701.1
GPD1L	23171	3p22.3	23171
snoU13|ENSG00000238646.1	-1145	3p22.3	snoU13|ENSG00000238646.1
CMTM8	152189	3p22.3	152189
CMTM7	112616	3p22.3	112616
CMTM6	54918	3p22.3	54918
DYNC1LI1	51143	3p22.3	51143
CNOT10	25904	3p22.3	25904
TRIM71	-1146	3p22.3	131405
CCR4	-1147	3p22.3	1233
GLB1	643853	3p22.3	2720
TMPPE	-1148	3p22.3	643853
RN7SL296P	-1149	3p22.3	106481003
CRTAP	10491	3p22.3	10491
SUSD5	26032	3p22.3	26032
FBXL2	25827	3p22.3	25827
UBP1	7342	3p22.3	7342
RNA5SP128	-1150	3p22.3	100873398
CLASP2	23122	3p22.3	23122
PDCD6IP	10015	3p22.3	10015
ARPP21	10777	3p22.3	10777
STAC	6769	3p22.3	6769
RN7SKP227	-1151	3p22.2	106481818
DCLK3	85443	3p22.2	85443
HSPD1P6	-1152	3p22.2	645548
TRANK1	-1153	3p22.2	9881
RNU6ATAC4P	-1154	3p22.2	100151687
EPM2AIP1	9852	3p22.2	9852
MLH1	4292	3p22.2	4292
LRRFIP2	9209	3p22.2	9209
snoU13|ENSG00000238929.1	-1155	3p22.2	snoU13|ENSG00000238929.1
GOLGA4	2803	3p22.2	2803
RNA5SP129	-1156	3p22.2	100873399
C3orf35	339883	3p22.2	339883
ITGA9	-1157	3p22.2	3680
CTDSPL	10217	3p22.2	10217
MIR26A1	-1158	3p22.2	407015
VILL	50853	3p22.2	50853
PLCD1	5333	3p22.2	5333
DLEC1	9940	3p22.2	9940
ACAA1	30	3p22.2	30
MYD88	4615	3p22.2	4615
OXSR1	9943	3p22.2	9943
SLC22A13	9390	3p22.2	9390
SLC22A14	9389	3p22.2	9389
XYLB	9942	3p22.2	9942
ACVR2B	93	3p22.2	93
EXOG	9941	3p22.2	9941
SCN5A	6331	3p22.2	6331
SCN10A	6336	3p22.2	6336
SCN11A	11280	3p22.2	11280
WDR48	57599	3p22.2	57599
GORASP1	64689	3p22.2	64689
TTC21A	199223	3p22.2	199223
CSRNP1	64651	3p22.2	64651
XIRP1	165904	3p22.2	165904
CX3CR1	1524	3p22.2	1524
CCR8	1237	3p22.2	1237
SLC25A38	54977	3p22.1	54977
RPSA	3921	3p22.1	3921
SNORA62|ENSG00000202363.1	-1160	3p22.1	SNORA62|ENSG00000202363.1
SNORA6	-1159	3p22.1	574040
MOBP	4336	3p22.1	4336
MYRIP	25924	3p22.1	25924
RN7SL411P	-1161	3p22.1	106481035
SNORA64|ENSG00000202517.1	-1162	3p22.1	SNORA64|ENSG00000202517.1
EIF1B	10289	3p22.1	10289
ENTPD3	956	3p22.1	956
RPL14	9045	3p22.1	9045
ZNF619	285267	3p22.1	285267
ZNF620	253639	3p22.1	253639
ZNF621	-1163	3p22.1	285268
CTNNB1	1499	3p22.1	1499
ULK4	54986	3p22.1	54986
SCARNA21|ENSG00000252409.1	-1164	3p22.1	SCARNA21|ENSG00000252409.1
RN7SKP58	-1165	3p22.1	106480850
TRAK1	22906	3p22.1	22906
U8|ENSG00000212145.2	-1166	3p22.1	U8|ENSG00000212145.2
CCK	885	3p22.1	885
LYZL4	131375	3p22.1	131375
VIPR1	7433	3p22.1	7433
SEC22C	9117	3p22.1	9117
SS18L2	51188	3p22.1	51188
NKTR	4820	3p22.1	4820
ZBTB47	-1167	3p22.1	92999
RN7SL567P	-1168	3p22.1	106481976
KLHL40	131377	3p22.1	131377
CCDC13	152206	3p22.1	152206
HHATL	57467	3p22.1	57467
HIGD1A	-1169	3p22.1	25994
ACKR2	1238	3p22.1	1238
KRBOX1	100506243	3p22.1	100506243
CYP8B1	1582	3p22.1	1582
ZNF662	389114	3p22.1	389114
FAM198A	729085	3p22.1	729085
GTDC2	84892	3p22.1	GTDC2
SNRK	54861	3p22.1	54861
RN7SL517P	-1170	3p22.1	106481064
ANO10	55129	3p22.1	55129
ABHD5	-1171	3p21.33	51099
TOPAZ1	375337	3p21.31	375337
TCAIM	285343	3p21.31	285343
LINC00694	-1172	3p21.31	100506301
ZNF445	353274	3p21.31	353274
ZNF852	-1173	3p21.31	285346
ZKSCAN7	55888	3p21.31	55888
ZNF660	-1174	3p21.31	285349
ZNF197	10168	3p21.31	10168
ZNF35	7584	3p21.31	7584
ZNF502	91392	3p21.31	91392
ZNF501	115560	3p21.31	115560
KIAA1143	57456	3p21.31	57456
KIF15	56992	3p21.31	56992
MIR564	-1175	3p21.31	693149
TMEM42	131616	3p21.31	131616
TGM4	7047	3p21.31	7047
ZDHHC3	-1176	3p21.31	51304
EXOSC7	23016	3p21.31	23016
CLEC3B	7123	3p21.31	7123
CDCP1	64866	3p21.31	64866
TMEM158	25907	3p21.31	25907
U3|ENSG00000202268.1	-1177	3p21.31	U3|ENSG00000202268.1
LARS2	23395	3p21.31	23395
LIMD1	-1178	3p21.31	8994
SACM1L	22908	3p21.31	22908
RN7SL145P	-1179	3p21.31	106481753
SLC6A20	54716	3p21.31	54716
LZTFL1	54585	3p21.31	54585
CCR9	10803	3p21.31	10803
FYCO1	79443	3p21.31	79443
CXCR6	10663	3p21.31	10663
XCR1	2829	3p21.31	2829
CCR3	1232	3p21.31	1232
CCR1	1230	3p21.31	1230
CCR2	729230	3p21.31	729230
CCR5	1234	3p21.31	1234
ACKR5	9034	3p21.31	ACKR5
LTF	4057	3p21.31	4057
RTP3	-1180	3p21.31	83597
LRRC2	79442	3p21.31	79442
LUZPP1	-1181	3p21.31	LUZPP1
TDGF1	6997	3p21.31	6997
SNORD77|ENSG00000251967.1	-1182	3p21.31	SNORD77|ENSG00000251967.1
ALS2CL	259173	3p21.31	259173
TMIE	259236	3p21.31	259236
PRSS50	29122	3p21.31	29122
PRSS46	100287362	3p21.31	100287362
PRSS42	339906	3p21.31	339906
PRSS44	-1184	3p21.31	729756
PRSS45	-1183	3p21.31	377047
MYL3	4634	3p21.31	4634
PTH1R	5745	3p21.31	5745
CCDC12	151903	3p21.31	151903
NBEAL2	23218	3p21.31	23218
SETD2	29072	3p21.31	29072
snoU13|ENSG00000251938.1	-1185	3p21.31	snoU13|ENSG00000251938.1
KIF9	64147	3p21.31	64147
snoU13|ENSG00000239128.1	-1186	3p21.31	snoU13|ENSG00000239128.1
KLHL18	23276	3p21.31	23276
PTPN23	25930	3p21.31	25930
SCAP	22937	3p21.31	22937
snoU13|ENSG00000238350.1	-1187	3p21.31	snoU13|ENSG00000238350.1
ELP6	54859	3p21.31	54859
RN7SL870P	-1188	3p21.31	106481155
CSPG5	-1189	3p21.31	10675
SMARCC1	6599	3p21.31	6599
DHX30	22907	3p21.31	22907
MAP4	4134	3p21.31	4134
MIR1226	-1190	3p21.31	100302232
RN7SL664P	-1191	3p21.31	106479464
CDC25A	993	3p21.31	993
MIR4443	100616407	3p21.31	100616407
CAMP	820	3p21.31	820
ZNF589	51385	3p21.31	51385
NME6	10201	3p21.31	10201
MIR2115	-1192	3p21.31	100313840
SPINK8	646424	3p21.31	646424
FBXW12	285231	3p21.31	285231
RN7SL321P	-1193	3p21.31	106480501
PLXNB1	5364	3p21.31	5364
CCDC51	79714	3p21.31	79714
TMA7	51372	3p21.31	51372
ATRIP	84126	3p21.31	84126
SHISA5	51246	3p21.31	51246
TREX1	11277	3p21.31	11277
PFKFB4	5210	3p21.31	5210
UCN2	90226	3p21.31	90226
COL7A1	1294	3p21.31	1294
MIR711	-1194	3p21.31	100313843
UQCRC1	7384	3p21.31	7384
TMEM89	-1195	3p21.31	440955
SLC26A6	65010	3p21.31	65010
CELSR3	1951	3p21.31	1951
MIR4793	-1196	3p21.31	100616112
NCKIPSD	51517	3p21.31	51517
IP6K2	51447	3p21.31	51447
PRKAR2A	5576	3p21.31	5576
SLC25A20	788	3p21.31	788
ARIH2OS	646450	3p21.31	646450
ARIH2	10425	3p21.31	10425
P4HTM	54681	3p21.31	54681
WDR6	11180	3p21.31	11180
DALRD3	55152	3p21.31	55152
MIR191	406966	3p21.31	406966
MIR425	494337	3p21.31	494337
NDUFAF3	-1197	3p21.31	25915
IMPDH2	3615	3p21.31	3615
QRICH1	54870	3p21.31	54870
RN7SL182P	-1198	3p21.31	106479287
QARS	5859	3p21.31	5859
USP19	10869	3p21.31	10869
LAMB2	3913	3p21.31	3913
CCDC71	64925	3p21.31	64925
KLHDC8B	200942	3p21.31	200942
C3orf84	646498	3p21.31	646498
CCDC36	339834	3p21.31	339834
C3orf62	-1199	3p21.31	375341
MIR4271	100422952	3p21.31	100422952
USP4	7375	3p21.31	7375
GPX1	2876	3p21.31	2876
RHOA	387	3p21.31	387
TCTA	6988	3p21.31	6988
AMT	275	3p21.31	275
NICN1	84276	3p21.31	84276
DAG1	1605	3p21.31	1605
RNA5SP130	-1200	3p21.31	106478995
BSN	8927	3p21.31	8927
APEH	327	3p21.31	327
MST1	4485	3p21.31	4485
RNF123	63891	3p21.31	63891
AMIGO3	386724	3p21.31	386724
GMPPB	29925	3p21.31	29925
IP6K1	9807	3p21.31	9807
CDHR4	389118	3p21.31	389118
FAM212A	389119	3p21.31	389119
MIR5193	-1201	3p21.31	100847079
UBA7	7318	3p21.31	7318
TRAIP	10293	3p21.31	10293
CAMKV	79012	3p21.31	79012
RN7SL217P	-1202	3p21.31	106479301
MST1R	4486	3p21.31	4486
MON1A	84315	3p21.31	84315
RBM6	10180	3p21.31	10180
RBM5	10181	3p21.31	10181
SEMA3F	6405	3p21.31	6405
MIR566	-1203	3p21.31	693151
GNAT1	-1204	3p21.31	2779
SLC38A3	-1205	3p21.31	10991
GNAI2	2771	3p21.31	2771
SEMA3B	-1206	3p21.31	7869
LSMEM2	132228	3p21.31	132228
IFRD2	7866	3p21.31	7866
HYAL3	8372	3p21.31	8372
HYAL1	3373	3p21.31	3373
NAT6	24142	3p21.31	24142
HYAL2	8692	3p21.31	8692
TUSC2	11334	3p21.31	11334
RASSF1	11186	3p21.31	11186
ZMYND10	51364	3p21.31	51364
NPRL2	10641	3p21.31	10641
CYB561D2	11068	3p21.31	11068
TMEM115	11070	3p21.31	11070
CACNA2D2	9254	3p21.31	9254
RNA5SP131	-1207	3p21.31	100873400
C3orf18	51161	3p21.31	51161
HEMK1	51409	3p21.2	51409
CISH	1154	3p21.2	1154
MAPKAPK3	7867	3p21.2	7867
DOCK3	1795	3p21.2	1795
MIR4787	100616138	3p21.2	100616138
MANF	7873	3p21.2	7873
RBM15B	29890	3p21.2	29890
VPRBP	-1208	3p21.2	VPRBP
RAD54L2	23132	3p21.2	23132
RNU6ATAC29P	-1209	3p21.2	106481168
TEX264	51368	3p21.2	51368
RNA5SP132	-1210	3p21.2	100873401
GRM2	2912	3p21.2	2912
IQCF6	-1211	3p21.2	440956
IQCF3	401067	3p21.2	401067
IQCF2	389123	3p21.2	389123
RN7SL504P	-1212	3p21.2	106480515
IQCF5	389124	3p21.2	389124
IQCF1	132141	3p21.2	132141
RRP9	9136	3p21.2	9136
PARP3	10039	3p21.2	10039
GPR62	118442	3p21.2	118442
PCBP4	57060	3p21.2	57060
ABHD14B	84836	3p21.2	84836
ABHD14A	25864	3p21.2	25864
ACY1	-1213	3p21.2	95
RPL29	6159	3p21.2	6159
DUSP7	1849	3p21.2	1849
LINC00696	-1214	3p21.2	100128378
POC1A	25886	3p21.2	25886
ALAS1	211	3p21.2	211
TLR9	54106	3p21.2	54106
TWF2	11344	3p21.2	11344
PPM1M	132160	3p21.2	132160
WDR82	80335	3p21.2	80335
MIRLET7G	-1216	3p21.1	406890
GLYCTK	132158	3p21.1	132158
MIR135A1	406925	3p21.1	406925
DNAH1	25981	3p21.1	25981
BAP1	8314	3p21.1	8314
PHF7	51533	3p21.1	51533
SEMA3G	56920	3p21.1	56920
TNNC1	7134	3p21.1	7134
NISCH	11188	3p21.1	11188
STAB1	23166	3p21.1	23166
NT5DC2	64943	3p21.1	64943
SMIM4	-1217	3p21.1	440957
