Approved symbol	Chromosome	NCBI Gene ID	Ensembl gene ID
CBR4	4q32.3	84869	ENSG00000145439
CBS	21q22.3	875	ENSG00000160200
CBSL	21p12	102724560	ENSG00000274276
CBWD1	9p24.3	55871	ENSG00000172785
CBWD2	2q14.1	150472	ENSG00000136682
CBWD3	9q21.11	445571	ENSG00000196873
CBWD4P	9q21.11	653510	ENSG00000204778
CBWD5	9q21.11	220869	ENSG00000147996
CBWD6	9p11.2	644019	ENSG00000215126
CBX1	17q21.32	10951	ENSG00000108468
CBX1P1	Xq11.1	645251	ENSG00000230823
CBX1P2	Xp22.2	100147811	ENSG00000214322
CBX1P3	1q32.1	100128723	ENSG00000237379
CBX1P4	Xp22.2	100130461	ENSG00000214321
CBX1P5	3q26.1	100133259	ENSG00000231516
CBX2	17q25.3	84733	ENSG00000173894
CBX3	7p15.2	11335	ENSG00000122565
CBX3P1	11p14.1	159770	ENSG00000177447
CBX3P2	18p11.32	645158	
CBX3P3	5q22.2	100421861	ENSG00000250045
CBX3P4	12p13.33	100873792	ENSG00000256030
CBX3P5	12q22	100421943	ENSG00000257666
CBX3P6	2q24.1	642721	ENSG00000228837
CBX3P7	11q14.3	100421975	ENSG00000197692
CBX3P8	11p11.12	100286965	ENSG00000254496
CBX3P9	6q22.1	644101	ENSG00000217241
CBX4	17q25.3	8535	ENSG00000141582
CBX5	12q13.13	23468	ENSG00000094916
CBX5P1	3p11.1	100151661	ENSG00000241535
CBX6	22q13.1	23466	ENSG00000183741
CBX7	22q13.1	23492	ENSG00000100307
CBX8	17q25.3	57332	ENSG00000141570
CBY1	22q13.1	25776	ENSG00000100211
CBY2	13q14.13	220082	ENSG00000174015
CBY3	5q35.3	646019	ENSG00000204659
CC2D1A	19p13.12	54862	ENSG00000132024
CC2D1B	1p32.3	200014	ENSG00000154222
CC2D2A	4p15.32	57545	ENSG00000048342
CC2D2B	10q24.1	387707	ENSG00000188649
CCAR1	10q21.3	55749	ENSG00000060339
CCAR2	8p21.3	57805	ENSG00000158941
CCAT1	8q24.21	100507056	ENSG00000247844
CCAT2	8q24.21	101805488	ENSG00000280997
CCBE1	18q21.32	147372	ENSG00000183287
CCDC3	10p13	83643	ENSG00000151468
CCDC6	10q21.2	8030	ENSG00000108091
CCDC7	10p11.22	79741	ENSG00000216937
CCDC8	19q13.32	83987	ENSG00000169515
CCDC9	19q13.32	26093	ENSG00000105321
CCDC9B	15q15.1	388115	ENSG00000188549
CCDC11P1	5p13.1	100129040	ENSG00000251515
CCDC12	3p21.31	151903	ENSG00000160799
CCDC12P1	2p16.3	100131852	ENSG00000226366
CCDC13	3p22.1	152206	ENSG00000244607
CCDC13-AS1	3p22.1		ENSG00000173811
CCDC14	3q21.1	64770	ENSG00000175455
CCDC15	11q24.2	80071	ENSG00000149548
CCDC15-DT	11q24.2	105369547	ENSG00000285825
CCDC17	1p34.1	149483	ENSG00000159588
CCDC18	1p22.1	343099	ENSG00000122483
CCDC18-AS1	1p22.1	100131564	ENSG00000223745
CCDC22	Xp11.23	28952	ENSG00000101997
CCDC24	1p34.1	149473	ENSG00000159214
CCDC25	8p21.1	55246	ENSG00000147419
CCDC26	8q24.21	137196	ENSG00000229140
CCDC27	1p36.32	148870	ENSG00000162592
CCDC28A	6q24.1	25901	ENSG00000024862
CCDC28A-AS1	6q24.1	100507462	ENSG00000279968
CCDC28B	1p35.2	79140	ENSG00000160050
CCDC30	1p34.2	728621	ENSG00000186409
CCDC32	15q15.1	90416	ENSG00000128891
CCDC33	15q24.1	80125	ENSG00000140481
CCDC34	11p14.1	91057	ENSG00000109881
CCDC34P1	4q25	100288584	ENSG00000250556
CCDC36	3p21.31	339834	ENSG00000173421
CCDC37-DT	3q21.3	100506907	ENSG00000249833
CCDC38	12q23.1	120935	ENSG00000165972
CCDC39	3q26.33	339829	ENSG00000145075
CCDC39-AS1	3q26.33		ENSG00000243187
CCDC40	17q25.3	55036	ENSG00000141519
CCDC42	17p13.1	146849	ENSG00000161973
CCDC43	17q21.31	124808	ENSG00000180329
CCDC47	17q23.3	57003	ENSG00000108588
CCDC50	3q28	152137	ENSG00000152492
CCDC51	3p21.31	79714	ENSG00000164051
CCDC54	3q13.12	84692	ENSG00000138483
CCDC57	17q25.3	284001	ENSG00000176155
CCDC58	3q21.1	131076	ENSG00000160124
CCDC58P1	18p11.22	645859	ENSG00000264311
CCDC58P2	10q11.23	100287708	ENSG00000236944
CCDC58P3	18p11.21	732448	ENSG00000267076
CCDC58P4	3p22.1		
CCDC58P5	11q13.4	100420588	ENSG00000256681
CCDC59	12q21.31	29080	
CCDC60	12q24.23	160777	ENSG00000183273
CCDC61	19q13.32	729440	ENSG00000104983
CCDC62	12q24.31	84660	ENSG00000130783
CCDC63	12q24.11	160762	ENSG00000173093
CCDC65	12q13.12	85478	ENSG00000139537
CCDC66	3p14.3	285331	ENSG00000180376
CCDC68	18q21.2	80323	ENSG00000166510
CCDC69	5q33.1	26112	ENSG00000198624
CCDC70	13q14.3	83446	ENSG00000123171
CCDC71	3p21.31	64925	ENSG00000177352
CCDC71L	7q22.3	168455	ENSG00000253276
CCDC73	11p13	493860	ENSG00000186714
CCDC74A	2q21.1	90557	ENSG00000163040
CCDC74B	2q21.1	91409	ENSG00000152076
CCDC74BP1	22q11.21	100996538	ENSG00000250261
CCDC75P1	3p13	344709	ENSG00000182921
CCDC77	12p13.33	84318	ENSG00000120647
CCDC78	16p13.3	124093	ENSG00000162004
CCDC80	3q13.2	151887	ENSG00000091986
CCDC81	11q14.2	60494	ENSG00000149201
CCDC82	11q21	79780	ENSG00000149231
CCDC83	11q14.1-q14.2	220047	ENSG00000150676
CCDC84	11q23.3	338657	ENSG00000186166
CCDC84-DT	11q23.3	107984396	ENSG00000255121
CCDC85A	2p16.1	114800	ENSG00000055813
CCDC85B	11q13.1	11007	
CCDC85C	14q32.2	317762	ENSG00000205476
CCDC86	11q12.2	79080	ENSG00000110104
CCDC87	11q13.2	55231	ENSG00000182791
CCDC88A	2p16.1	55704	ENSG00000115355
CCDC88B	11q13.1	283234	ENSG00000168071
CCDC88C	14q32.11-q32.12	440193	ENSG00000015133
CCDC89	11q14.1	220388	ENSG00000179071
CCDC90B	11q14.1	60492	ENSG00000137500
CCDC91	12p11.22	55297	
CCDC92	12q24.31	80212	ENSG00000119242
CCDC92B	17p13.3	101928991	ENSG00000261963
CCDC93	2q14.1	54520	ENSG00000125633
CCDC96	4p16.1	257236	ENSG00000173013
CCDC97	19q13.2	90324	
CCDC102A	16q21	92922	ENSG00000135736
CCDC102B	18q22.1	79839	ENSG00000150636
CCDC103	17q21.31	388389	ENSG00000167131
CCDC105	19p13.12	126402	
CCDC106	19q13.42	29903	ENSG00000173581
CCDC107	9p13.3	203260	ENSG00000159884
CCDC110	4q35.1	256309	ENSG00000168491
CCDC112	5q22.3	153733	ENSG00000164221
CCDC113	16q21	29070	ENSG00000103021
CCDC114	19q13.33	93233	ENSG00000105479
CCDC115	2q21.1	84317	ENSG00000136710
CCDC116	22q11.21	164592	ENSG00000161180
CCDC117	22q12.1	150275	ENSG00000159873
CCDC120	Xp11.23	90060	ENSG00000147144
CCDC121	2p23.3	79635	ENSG00000176714
CCDC122	13q14.11	160857	ENSG00000151773
CCDC124	19p13.11	115098	ENSG00000007080
CCDC125	5q13.2	202243	ENSG00000183323
CCDC126	7p15.3	90693	ENSG00000169193
CCDC127	5p15.33	133957	ENSG00000164366
CCDC130	19p13.13	81576	ENSG00000104957
CCDC134	22q13.2	79879	ENSG00000100147
CCDC136	7q32.1	64753	ENSG00000128596
CCDC137	17q25.3	339230	ENSG00000185298
CCDC137P	3p13	642802	ENSG00000242609
CCDC138	2q13	165055	ENSG00000163006
CCDC140	2q36.1	151278	ENSG00000163081
CCDC141	2q31.2	285025	ENSG00000163492
CCDC142	2p13.1	84865	ENSG00000135637
CCDC144A	17p11.2	9720	ENSG00000170160
CCDC144B	17p11.2	284047	ENSG00000154874
CCDC144CP	17p11.2	348254	ENSG00000154898
CCDC144NL	17p11.2	339184	ENSG00000205212
CCDC144NL-AS1	17p11.2	440416	ENSG00000233098
CCDC146	7q11.23	57639	ENSG00000135205
CCDC148	2q24.1	130940	ENSG00000153237
CCDC148-AS1	2q24.1	554201	ENSG00000227480
CCDC149	4p15.2	91050	ENSG00000181982
CCDC150	2q33.1	284992	ENSG00000144395
CCDC150P1	12q24.31	100420678	ENSG00000256304
CCDC151	19p13.2	115948	ENSG00000198003
CCDC152	5p12	100129792	ENSG00000198865
CCDC153	11q23.3	283152	ENSG00000248712
CCDC154	16p13.3	645811	ENSG00000197599
CCDC155	19q13.33	147872	ENSG00000161609
CCDC157	22q12.2	550631	ENSG00000187860
CCDC158	4q21.1	339965	ENSG00000163749
CCDC159	19p13.2	126075	ENSG00000183401
CCDC160	Xq26.2	347475	ENSG00000203952
CCDC162P	6q21	221262	ENSG00000203799
CCDC163	1p34.1	126661	ENSG00000280670
CCDC166	8q24.3	100130274	ENSG00000255181
CCDC167	6p21.2	154467	ENSG00000198937
CCDC168	13q33.1	643677	ENSG00000175820
CCDC169	13q13.3	728591	ENSG00000242715
CCDC169-SOHLH2	13q13.3	100526761	ENSG00000250709
CCDC170	6q25.1	80129	ENSG00000120262
CCDC171	9p22.3	203238	ENSG00000164989
CCDC172	10q25.3	374355	ENSG00000182645
CCDC173	2q31.1	129881	ENSG00000154479
CCDC174	3p25.1	51244	ENSG00000154781
CCDC175	14q23.1	729665	ENSG00000151838
CCDC177	14q24.1	56936	ENSG00000267909
CCDC178	18q12.1	374864	ENSG00000166960
CCDC179	11p14.3	100500938	ENSG00000255359
CCDC180	9q22.33	100499483	ENSG00000197816
CCDC181	1q24.2	57821	ENSG00000117477
CCDC182	17q22	101927581	ENSG00000166329
CCDC183	9q34.3	84960	ENSG00000213213
CCDC183-AS1	9q34.3	100131193	ENSG00000228544
CCDC184	12q13.11	387856	ENSG00000177875
CCDC185	1q41	164127	ENSG00000178395
CCDC186	10q25.3	55088	ENSG00000165813
CCDC187	9q34.3	399693	ENSG00000260220
CCDC188	22q11.21	388849	ENSG00000234409
CCDC189	16p11.2	90835	ENSG00000196118
CCDC190	1q23.3	339512	ENSG00000185860
CCDC191	3q13.31	57577	ENSG00000163617
CCDC192	5q23.2-q23.3	728586	ENSG00000230561
CCDC194	19p13.11		ENSG00000269720
CCDC195	2q36.2		ENSG00000283428
CCDC196	14q23.3	440184	ENSG00000196553
CCDC197	14q32.12	256369	ENSG00000175699
CCDC198	14q22.3	55195	ENSG00000100557
CCDC200	17q21.31	100874261	ENSG00000236383
CCDC201	7p12.3		ENSG00000283247
CCEPR	10q21.1	105682749	
CCER1	12q21.33	196477	ENSG00000197651
CCER2	19q13.2	643669	ENSG00000262484
CCHCR1	6p21.33	54535	ENSG00000204536
CCIN	9p13.3	881	ENSG00000185972
CCK	3p22.1	885	ENSG00000187094
CCKAR	4p15.2	886	ENSG00000163394
CCKBR	11p15.4	887	ENSG00000110148
CCL1	17q12	6346	ENSG00000108702
CCL2	17q12	6347	ENSG00000108691
CCL3	17q12	6348	ENSG00000277632
CCL3L1	17q12 alternate reference locus	6349	ENSG00000277796
CCL3L3	17q12	414062	ENSG00000276085
CCL3P1	17q12 alternate reference locus	390788	
CCL4	17q12	6351	ENSG00000275302
CCL4L1	17q12 alternate reference locus	388372	
CCL4L2	17q12	9560	ENSG00000276070
CCL5	17q12	6352	ENSG00000271503
CCL7	17q12	6354	ENSG00000108688
CCL8	17q12	6355	ENSG00000108700
CCL11	17q12	6356	ENSG00000172156
CCL13	17q12	6357	ENSG00000181374
CCL14	17q12	6358	ENSG00000276409
CCL15	17q12	6359	ENSG00000275718
CCL15-CCL14	17q12	348249	ENSG00000275688
CCL16	17q12	6360	ENSG00000275152
CCL17	16q21	6361	ENSG00000102970
CCL18	17q12	6362	ENSG00000275385
CCL19	9p13.3	6363	ENSG00000172724
CCL20	2q36.3	6364	ENSG00000115009
CCL21	9p13.3	6366	ENSG00000137077
CCL22	16q21	6367	ENSG00000102962
CCL23	17q12	6368	ENSG00000274736
CCL24	7q11.23	6369	ENSG00000106178
CCL25	19p13.2	6370	ENSG00000131142
CCL26	7q11.23	10344	ENSG00000006606
CCL27	9p13.3	10850	ENSG00000213927
CCL28	5p12	56477	ENSG00000151882
CCM2	7p13	83605	ENSG00000136280
CCM2L	20q11.21	140706	ENSG00000101331
CCN1	1p22.3	3491	ENSG00000142871
CCN2	6q23.2	1490	ENSG00000118523
CCN3	8q24.12	4856	ENSG00000136999
CCN4	8q24.22	8840	ENSG00000104415
CCN5	20q13.12	8839	ENSG00000064205
CCN6	6q21	8838	ENSG00000112761
CCNA1	13q13.3	8900	ENSG00000133101
CCNA2	4q27	890	ENSG00000145386
CCNB1	5q13.2	891	ENSG00000134057
CCNB1IP1	14q11.2	57820	ENSG00000100814
CCNB1IP1P1	1p34.1	728887	ENSG00000229815
CCNB1IP1P2	20q13.12	100505892	ENSG00000230860
CCNB1IP1P3	Xq21.33	100128456	ENSG00000231001
CCNB2	15q22.2	9133	ENSG00000157456
CCNB2P1	7p21.3	100132073	ENSG00000214998
CCNB3	Xp11.22	85417	ENSG00000147082
CCNB3P1	5p14.1	100131678	ENSG00000249616
CCNC	6q16.2	892	ENSG00000112237
CCND1	11q13.3	595	ENSG00000110092
CCND2	12p13.32	894	ENSG00000118971
CCND2-AS1	12p13.32	103752584	ENSG00000255920
CCND2P1	11q12.3	895	ENSG00000256847
CCND3	6p21.1	896	ENSG00000112576
CCND3P1	10p11.23	897	ENSG00000224473
CCND3P2	18q23		ENSG00000265836
CCNDBP1	15q15.2	23582	ENSG00000166946
CCNE1	19q12	898	ENSG00000105173
CCNE2	8q22.1	9134	ENSG00000175305
CCNF	16p13.3	899	ENSG00000162063
CCNG1	5q34	900	ENSG00000113328
CCNG1P1	6q23.2	100130820	ENSG00000218991
CCNG2	4q21.1	901	ENSG00000138764
CCNG2P1	12q21.1	100128681	ENSG00000258112
CCNH	5q14.3	902	ENSG00000134480
CCNHP1	4q34.3	100128118	ENSG00000251433
CCNI	4q21.1	10983	ENSG00000118816
CCNI2	5q31.1	645121	ENSG00000205089
CCNJ	10q24.1	54619	ENSG00000107443
CCNJL	5q33.3	79616	ENSG00000135083
CCNJP1	7p11.2	100128459	ENSG00000227491
CCNJP2	1p22.1	100418724	ENSG00000223896
CCNK	14q32.2	8812	ENSG00000090061
CCNL1	3q25.31	57018	ENSG00000163660
CCNL2	1p36.33	81669	ENSG00000221978
CCNL2P1	4p13	100418743	ENSG00000248283
CCNO	5q11.2	10309	ENSG00000152669
CCNQ	Xq28	92002	ENSG00000262919
CCNQP1	1q32.1	339521	ENSG00000233827
CCNQP2	Yq12	100421487	ENSG00000231514
CCNQP3	13q12.11		ENSG00000231184
CCNT1	12q13.11-q13.12	904	ENSG00000129315
CCNT2	2q21.3	905	ENSG00000082258
CCNT2-AS1	2q21.3	100129961	ENSG00000224043
CCNT2P1	1p13.3	100418763	ENSG00000225672
CCNY	10p11.21	219771	ENSG00000108100
CCNYL1	2q33.3	151195	ENSG00000163249
CCNYL2	10q11.21	414194	ENSG00000182632
CCNYL3	16p11.2	102724928	ENSG00000216671
CCNYL4	10p11.1	100129055	ENSG00000224761
CCNYL5	Xq12	100130724	ENSG00000230039
CCNYL6	19p12	641367	ENSG00000269845
CCNYL7	16p12.2	100419017	ENSG00000261528
CCP110	16p12.3	9738	ENSG00000103540
CCPG1	15q21.3	9236	ENSG00000260916
CCR1	3p21.31	1230	ENSG00000163823
CCR2	3p21.31	729230	ENSG00000121807
CCR3	3p21.31	1232	ENSG00000183625
CCR4	3p22.3	1233	ENSG00000183813
CCR5	3p21.31	1234	ENSG00000160791
CCR5AS	3p21.31	102724297	ENSG00000223552
CCR6	6q27	1235	ENSG00000112486
CCR7	17q21.2	1236	ENSG00000126353
CCR8	3p22.1	1237	ENSG00000179934
CCR9	3p21.31	10803	ENSG00000173585
CCR10	17q21.2	2826	ENSG00000184451
CCR12P	13q32.3	100133168	ENSG00000238241
CCRL2	3p21.31	9034	ENSG00000121797
CCS	11q13.2	9973	ENSG00000173992
CCSAP	1q42.13	126731	ENSG00000154429
CCSER1	4q22.1	401145	ENSG00000184305
CCSER2	10q23.1	54462	ENSG00000107771
CCT2	12q15	10576	ENSG00000166226
CCT3	1q22	7203	ENSG00000163468
CCT3P1	8p22	646440	
CCT4	2p15	10575	ENSG00000115484
CCT4P1	7q34	650172	ENSG00000242703
CCT4P2	Xq11.2	100131638	ENSG00000225569
CCT5	5p15.2	22948	ENSG00000150753
CCT5P1	5q22.3	402226	ENSG00000250444
CCT5P2	13q31.1	390415	ENSG00000230584
CCT6A	7p11.2	908	ENSG00000146731
CCT6B	17q12	10693	ENSG00000132141
CCT6P1	7q11.21	643253	ENSG00000228409
CCT6P2	5p15.2	391739	ENSG00000250526
CCT6P3	7q11.21	643180	ENSG00000234585
CCT6P4	3q28	100130481	ENSG00000232610
CCT6P5	11q22.3	100463286	
CCT7	2p13.2	10574	ENSG00000135624
CCT7P1	6q25.1	442267	ENSG00000217733
CCT7P2	5q14.3	100288772	ENSG00000249958
CCT8	21q21.3	10694	ENSG00000156261
CCT8L1P	7q36.1	155100	ENSG00000020219
CCT8L2	22q11.1	150160	ENSG00000198445
CCT8P1	1q21.1	644131	ENSG00000226015
CCZ1	7p22.1	51622	ENSG00000122674
CCZ1B	7p22.1	221960	ENSG00000146574
CD1A	1q23.1	909	ENSG00000158477
CD1B	1q23.1	910	ENSG00000158485
CD1C	1q23.1	911	ENSG00000158481
CD1D	1q23.1	912	ENSG00000158473
CD1E	1q23.1	913	ENSG00000158488
CD2	1p13.1	914	ENSG00000116824
CD2AP	6p12.3	23607	ENSG00000198087
CD2BP2	16p11.2	10421	ENSG00000169217
CD2BP2-DT	16p11.2	101928707	ENSG00000260219
CD3D	11q23.3	915	ENSG00000167286
CD3E	11q23.3	916	ENSG00000198851
CD3EAP	19q13.32	10849	ENSG00000117877
CD3G	11q23.3	917	ENSG00000160654
CD4	12p13.31	920	ENSG00000010610
CD5	11q12.2	921	ENSG00000110448
CD5L	1q23.1	922	ENSG00000073754
CD6	11q12.2	923	ENSG00000013725
CD7	17q25.3	924	ENSG00000173762
CD8A	2p11.2	925	ENSG00000153563
CD8B	2p11.2	926	ENSG00000172116
CD8B2	2q12.2	927	ENSG00000254126
CD9	12p13.31	928	ENSG00000010278
CD14	5q31.3	929	ENSG00000170458
CD19	16p11.2	930	ENSG00000177455
CD22	19q13.12	933	ENSG00000012124
CD24	6q21	100133941	ENSG00000272398
CD24P1	1p36.21	935	ENSG00000236500
CD24P2	15q21.3	936	ENSG00000261333
CD24P3	20q11.21	937	
CD24P4	Yq11.222	938	ENSG00000185275
CD27	12p13.31	939	ENSG00000139193
CD27-AS1	12p13.31	678655	ENSG00000215039
CD28	2q33.2	940	ENSG00000178562
CD33	19q13.41	945	ENSG00000105383
CD34	1q32.2	947	ENSG00000174059
CD36	7q21.11	948	ENSG00000135218
CD37	19q13.33	951	ENSG00000104894
CD38	4p15.32	952	ENSG00000004468
CD40	20q13.12	958	ENSG00000101017
CD40LG	Xq26.3	959	ENSG00000102245
CD44	11p13	960	ENSG00000026508
CD44-AS1	11p13		ENSG00000255443
CD46	1q32.2	4179	ENSG00000117335
CD46P1	1q32.2	4182	ENSG00000244703
CD47	3q13.12	961	ENSG00000196776
CD48	1q23.3	962	ENSG00000117091
CD52	1p36.11	1043	ENSG00000169442
CD53	1p13.3	963	ENSG00000143119
CD55	1q32.2	1604	ENSG00000196352
CD58	1p13.1	965	ENSG00000116815
CD59	11p13	966	ENSG00000085063
CD63	12q13.2	967	ENSG00000135404
CD68	17p13.1	968	ENSG00000129226
CD69	12p13.31	969	ENSG00000110848
CD70	19p13.3	970	ENSG00000125726
CD72	9p13.3	971	ENSG00000137101
CD74	5q33.1	972	ENSG00000019582
CD79A	19q13.2	973	ENSG00000105369
CD79B	17q23.3	974	ENSG00000007312
CD80	3q13.33	941	ENSG00000121594
CD81	11p15.5	975	ENSG00000110651
CD81-AS1	11p15.5	101927682	ENSG00000238184
CD82	11p11.2	3732	ENSG00000085117
CD83	6p23	9308	ENSG00000112149
CD83P1	6p22.1	100128240	ENSG00000219738
CD84	1q23.3	8832	ENSG00000066294
CD86	3q13.33	942	ENSG00000114013
CD93	20p11.21	22918	ENSG00000125810
CD96	3q13.13-q13.2	10225	ENSG00000153283
CD99	Xp22.32 and Yp11.3	4267	ENSG00000002586
CD99L2	Xq28	83692	ENSG00000102181
CD99P1	Xp22.33 and Yp11.31	401577	ENSG00000223773
CD101	1p13.1	9398	ENSG00000134256
CD109	6q13	135228	ENSG00000156535
CD151	11p15.5	977	ENSG00000177697
CD160	1q21.1	11126	ENSG00000117281
CD163	12p13.31	9332	ENSG00000177575
CD163L1	12p13.31	283316	
CD164	6q21	8763	ENSG00000135535
CD164L2	1p36.11	388611	ENSG00000174950
CD177	19q13.31	57126	ENSG00000204936
CD177P1	19q13.31	653579	ENSG00000204933
CD180	5q12.3	4064	ENSG00000134061
CD200	3q13.2	4345	ENSG00000091972
CD200R1	3q13.2	131450	ENSG00000163606
CD200R1L	3q13.2	344807	ENSG00000206531
CD200R1L-AS1	3q13.2	100129297	ENSG00000242770
CD207	2p13.3	50489	ENSG00000116031
CD209	19p13.2	30835	ENSG00000090659
CD226	18q22.2	10666	ENSG00000150637
CD244	1q23.3	51744	ENSG00000122223
CD247	1q24.2	919	ENSG00000198821
CD248	11q13.2	57124	ENSG00000174807
CD274	9p24.1	29126	ENSG00000120217
CD276	15q24.1	80381	ENSG00000103855
CD300A	17q25.1	11314	ENSG00000167851
CD300C	17q25.1	10871	ENSG00000167850
CD300E	17q25.1	342510	ENSG00000186407
CD300H	17q25.1	100130520	ENSG00000284690
CD300LB	17q25.1	124599	ENSG00000178789
CD300LD	17q25.1	100131439	ENSG00000204345
CD300LF	17q25.1	146722	ENSG00000186074
CD300LG	17q21.31	146894	ENSG00000161649
CD302	2q24.2	9936	ENSG00000241399
CD320	19p13.2	51293	ENSG00000167775
CDA	1p36.12	978	ENSG00000158825
CDADC1	13q14.2	81602	ENSG00000102543
CDAN1	15q15.2	146059	ENSG00000140326
CDC5L	6p21.1	988	ENSG00000096401
CDC6	17q21.2	990	ENSG00000094804
CDC7	1p22.1	8317	ENSG00000097046
CDC14A	1p21.2	8556	ENSG00000079335
CDC14B	9q22.32-q22.33	8555	ENSG00000081377
CDC14C	7p12.3	168448	ENSG00000218305
CDC16	13q34	8881	ENSG00000130177
CDC20	1p34.2	991	ENSG00000117399
CDC20B	5q11.2	166979	ENSG00000164287
CDC20P1	9q21.33	157956	ENSG00000231007
CDC23	5q31.2	8697	ENSG00000094880
CDC25A	3p21.31	993	ENSG00000164045
CDC25B	20p13	994	ENSG00000101224
CDC25C	5q31.2	995	ENSG00000158402
CDC26	9q32	246184	ENSG00000176386
CDC26P1	7q32.1	729948	
CDC27	17q21.32	996	ENSG00000004897
CDC27P1	2q21.2	647696	ENSG00000233786
CDC27P2	Yp11.2	100130277	ENSG00000237447
CDC27P3	20q11.1	102723416	ENSG00000283005
CDC27P4	20q11.21	102723498	
CDC27P5	20q11.21	647654	
CDC27P6	14p11.2	649620	
CDC27P7	22p11.2	102723711	
CDC27P8	22p11.2	100288806	
CDC27P9	21p11.2	102723570	
CDC27P10	21p11.2	102723584	
CDC27P11	21p11.2	102723603	
CDC34	19p13.3	997	ENSG00000099804
CDC37	19p13.2	11140	ENSG00000105401
CDC37L1	9p24.1	55664	ENSG00000106993
CDC37L1-DT	9p24.1	101929351	ENSG00000273061
CDC37P1	16p11.2	390688	ENSG00000259982
CDC37P2	16p12.1	647015	ENSG00000261089
CDC40	6q21	51362	ENSG00000168438
CDC42	1p36.12	998	ENSG00000070831
CDC42-AS1	1p36.12	112268223	ENSG00000285752
CDC42-IT1	1p36.12		ENSG00000230068
CDC42BPA	1q42.13	8476	ENSG00000143776
CDC42BPB	14q32.32	9578	ENSG00000198752
CDC42BPG	11q13.1	55561	ENSG00000171219
CDC42EP1	22q13.1	11135	ENSG00000128283
CDC42EP2	11q13.1	10435	ENSG00000149798
CDC42EP3	2p22.2	10602	ENSG00000163171
CDC42EP3P1	19p12	100128845	ENSG00000268992
CDC42EP4	17q25.1	23580	ENSG00000179604
CDC42EP5	19q13.42	148170	ENSG00000167617
CDC42P1	20q11.22	170503	ENSG00000234933
CDC42P2	7p11.2	643336	ENSG00000234844
CDC42P3	8q24.3	100128627	ENSG00000253971
CDC42P4	4q25	100131440	ENSG00000249965
CDC42P5	5q35.1	100507354	ENSG00000253439
CDC42P6	4p15.2	643751	ENSG00000237350
CDC42SE1	1q21.3	56882	ENSG00000197622
CDC42SE2	5q31.1	56990	ENSG00000158985
CDC45	22q11.21	8318	ENSG00000093009
CDC73	1q31.2	79577	ENSG00000134371
CDC123	10p14-p13	8872	ENSG00000151465
CDCA2	8p21.2	157313	ENSG00000184661
CDCA3	12p13.31	83461	ENSG00000111665
CDCA4	14q32.33	55038	ENSG00000170779
CDCA4P1	9p22.3	100420502	ENSG00000229029
CDCA4P2	1p22.3		ENSG00000224466
CDCA4P3	1q32.2	100420558	ENSG00000226289
CDCA4P4	1q32.2		ENSG00000234219
CDCA5	11q13.1	113130	ENSG00000146670
CDCA7	2q31.1	83879	ENSG00000144354
CDCA7L	7p15.3	55536	ENSG00000164649
CDCA8	1p34.3	55143	ENSG00000134690
CDCP1	3p21.31	64866	ENSG00000163814
CDCP2	1p32.3	200008	ENSG00000157211
CDH1	16q22.1	999	ENSG00000039068
CDH2	18q12.1	1000	ENSG00000170558
CDH3	16q22.1	1001	ENSG00000062038
CDH4	20q13.33	1002	ENSG00000179242
CDH5	16q21	1003	ENSG00000179776
CDH6	5p13.3	1004	ENSG00000113361
CDH7	18q22.1	1005	ENSG00000081138
CDH8	16q21	1006	ENSG00000150394
CDH9	5p14.1	1007	ENSG00000113100
CDH10	5p14.2-p14.1	1008	ENSG00000040731
CDH11	16q21	1009	ENSG00000140937
CDH12	5p14.3	1010	ENSG00000154162
CDH12P1	5q13.2	100093625	ENSG00000254335
CDH12P2	5q13.2	1011	ENSG00000249230
CDH12P3	5q13.2	100093624	ENSG00000253492
CDH12P4	5q13.2	100093626	ENSG00000253900
CDH13	16q23.3	1012	
CDH15	16q24.3	1013	ENSG00000129910
CDH16	16q22.1	1014	ENSG00000166589
CDH17	8q22.1	1015	ENSG00000079112
CDH18	5p14.3	1016	ENSG00000145526
CDH18-AS1	5p14.3	102725105	ENSG00000249854
CDH19	18q22.1	28513	ENSG00000071991
CDH20	18q21.33	28316	ENSG00000101542
CDH22	20q13.12	64405	ENSG00000149654
CDH23	10q22.1	64072	ENSG00000107736
CDH23-AS1	10q22.1	102723377	ENSG00000223817
CDH24	14q11.2	64403	ENSG00000139880
CDH26	20q13.33	60437	ENSG00000124215
CDHR1	10q23.1	92211	ENSG00000148600
CDHR2	5q35.2	54825	ENSG00000074276
CDHR3	7q22.3	222256	ENSG00000128536
CDHR4	3p21.31	389118	ENSG00000187492
CDHR5	11p15.5	53841	ENSG00000099834
CDIP1	16p13.3	29965	ENSG00000089486
CDIPT	16p11.2	10423	ENSG00000103502
CDIPTOSP	16p11.2	440356	ENSG00000214725
CDK1	10q21.2	983	ENSG00000170312
CDK2	12q13.2	1017	ENSG00000123374
CDK2AP1	12q24.31	8099	ENSG00000111328
CDK2AP2	11q13.2	10263	ENSG00000167797
CDK2AP2P1	9p11.2	100289027	ENSG00000278647
CDK2AP2P2	9q13		ENSG00000237451
CDK2AP2P3	9q13	401525	ENSG00000226020
CDK3	17q25.1	1018	ENSG00000250506
CDK4	12q14.1	1019	ENSG00000135446
CDK4P1	1p21.1	359941	ENSG00000225036
